FREQ;GEO;UNIT\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;MEUR_KP_PRE,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,2.6 ,1.2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0.6 ,0.6 
A;BE;MEUR_KP_PRE,4.6 ,4.6 ,4.6 ,4.6 ,4.6 ,4.6 ,0.2 ,0.2 ,2.2 ,0.4 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
A;BG;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.2 
A;CY;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.9 ,0.1 ,0.8 
A;CZ;MEUR_KP_PRE,0 ,0 ,0 ,0 ,17.4 ,10.4 ,2.8 ,3.3 ,20.3 ,26.5 ,21.3 ,24.9 ,17.6 ,14.3 ,4.8 ,5.4 ,3.6 ,4.6 
A;DE;MEUR_KP_PRE,10.4 ,10.4 ,10.4 ,10.4 ,10.4 ,10.4 ,9.5 ,6 ,5.7 ,3.8 ,2.8 ,2.2 ,2.8 ,2.6 ,2.6 ,1.4 ,2.7 ,1.1 
A;DK;MEUR_KP_PRE,15.6 ,14.8 ,17.1 ,17.1 ,16.1 ,15.2 ,53.8 ,32.9 ,1.5 ,16.4 ,1.2 ,1 ,0.7 ,0.7 ,0.9 ,1.7 ,1.9 ,2.2 
A;EE;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0.1 ,0.5 ,2.5 ,0 ,0.2 ,0.1 ,0 ,0 ,0.1 ,0 ,0 ,0 ,0 
A;EL;MEUR_KP_PRE,18.2 ,15.9 ,10.7 ,10.7 ,10.7 ,18.2 ,7.7 ,31.4 ,0.6 ,2.4 ,1.1 ,1.2 ,2.1 ,1 ,1.6 ,0.1 ,0 ,0.2 
A;ES;MEUR_KP_PRE,100.7 ,100.9 ,101.1 ,121.1 ,100 ,98.2 ,58.4 ,183.8 ,113.2 ,36.5 ,13.5 ,4.6 ,5.5 ,5.6 ,3.5 ,0.1 ,2.1 ,2.5 
A;EU28;MEUR_KP_PRE,399.5 ,342.6 ,336.7 ,380.2 ,497.2 ,361.9 ,286.9 ,418.4 ,284 ,199.9 ,131 ,109.8 ,83.8 ,69.9 ,40.7 ,33.5 ,36.7 ,28.7 
A;FI;MEUR_KP_PRE,7.2 ,8.5 ,7.2 ,7.2 ,7.2 ,7.7 ,1.3 ,0.3 ,1.3 ,1.9 ,1.2 ,1.5 ,2.6 ,2.3 ,1.7 ,1.6 ,1.1 ,0.1 
A;FR;MEUR_KP_PRE,39.8 ,40.7 ,44.9 ,40.7 ,54.1 ,39.7 ,43.3 ,15.2 ,74.1 ,88.3 ,72.5 ,55.2 ,30 ,20.9 ,9.7 ,11.7 ,10.3 ,2.8 
A;HR;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.3 
A;HU;MEUR_KP_PRE,0 ,0 ,0 ,0 ,1.5 ,0 ,1.1 ,0.3 ,0 ,0.2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IE;MEUR_KP_PRE,6 ,9.1 ,6 ,6 ,3.8 ,7.1 ,22.6 ,37.4 ,20 ,5.7 ,2.5 ,4.1 ,0.5 ,0.5 ,0 ,1.4 ,0 ,0.1 
A;IT;MEUR_KP_PRE,149.8 ,91 ,87.1 ,76.7 ,121.1 ,82.9 ,40.2 ,82.2 ,6.7 ,2.8 ,1.6 ,2.4 ,15.4 ,12.1 ,9.4 ,0.2 ,9.8 ,9.4 
A;LT;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0.8 ,0.6 ,0.7 ,0.7 ,0 ,0.6 ,0.3 ,0 ,0 ,0.3 ,0 ,0.6 ,0.6 ,1.2 
A;LU;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.9 ,0 ,0 ,0 ,0 ,0.1 ,0.4 ,0 ,0.1 ,0 ,0 
A;MT;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0 ,0 ,0.1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;MEUR_KP_PRE,11.6 ,9.8 ,9.8 ,7.5 ,7.7 ,32.6 ,18.7 ,4.4 ,34.1 ,5 ,5.4 ,4.3 ,0 ,2.4 ,1.8 ,0.1 ,0 ,0 
A;PL;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0.5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.4 ,0.4 ,0.4 ,0.4 ,0 
A;PT;MEUR_KP_PRE,9.4 ,9.5 ,9.4 ,9.4 ,9.4 ,9.4 ,15.6 ,2 ,0.4 ,4.2 ,3.6 ,3.9 ,2.3 ,1.4 ,1.1 ,1.5 ,0.6 ,0.6 
A;RO;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;MEUR_KP_PRE,5.7 ,5.7 ,5.7 ,5.7 ,5.7 ,5.7 ,5.2 ,2.5 ,2.1 ,2.4 ,2.3 ,3.1 ,2.7 ,2.1 ,2.1 ,2.1 ,1.9 ,1.6 
A;SI;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0.2 ,0 ,0.1 ,0.4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;MEUR_KP_PRE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0 ,0.1 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;MEUR_KP_PRE,19.8 ,20.8 ,21.8 ,62.2 ,125.2 ,18.2 ,2.6 ,8.8 ,1.8 ,2.3 ,1.6 ,1.4 ,1.3 ,0.9 ,0.8 ,2 ,1.1 ,0.4 
A;AT;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;PC_GDP,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 
A;BG;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.016 ,0 ,0.004 
A;CZ;PC_GDP,0 ,0 ,0 ,0 ,0.018 ,0.01 ,0.002 ,0.002 ,0.013 ,0.018 ,0.014 ,0.015 ,0.011 ,0.009 ,0.003 ,0.003 ,0.002 ,0.002 
A;DE;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP,0.009 ,0.008 ,0.009 ,0.009 ,0.008 ,0.007 ,0.024 ,0.014 ,0.001 ,0.007 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.001 
A;EE;PC_GDP,0 ,0 ,0 ,0 ,0 ,0.001 ,0.003 ,0.015 ,0 ,0.002 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EL;PC_GDP,0.013 ,0.01 ,0.007 ,0.006 ,0.006 ,0.009 ,0.004 ,0.013 ,0 ,0.001 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 
A;ES;PC_GDP,0.016 ,0.014 ,0.013 ,0.015 ,0.012 ,0.011 ,0.006 ,0.017 ,0.01 ,0.003 ,0.001 ,0 ,0.001 ,0.001 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP,0.004 ,0.003 ,0.003 ,0.004 ,0.004 ,0.003 ,0.002 ,0.003 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 
A;FI;PC_GDP,0.005 ,0.006 ,0.005 ,0.005 ,0.005 ,0.005 ,0.001 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 
A;FR;PC_GDP,0.003 ,0.003 ,0.003 ,0.002 ,0.003 ,0.002 ,0.002 ,0.001 ,0.004 ,0.005 ,0.004 ,0.003 ,0.001 ,0.001 ,0 ,0.001 ,0 ,0 
A;HR;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 
A;HU;PC_GDP,0 ,0 ,0 ,0 ,0.002 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IE;PC_GDP,0.006 ,0.008 ,0.004 ,0.004 ,0.002 ,0.004 ,0.012 ,0.019 ,0.011 ,0.003 ,0.001 ,0.002 ,0 ,0 ,0 ,0.001 ,0 ,0 
A;IT;PC_GDP,0.012 ,0.007 ,0.006 ,0.006 ,0.008 ,0.006 ,0.003 ,0.005 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.001 ,0 ,0.001 ,0.001 
A;LT;PC_GDP,0 ,0 ,0 ,0 ,0.004 ,0.003 ,0.003 ,0.003 ,0 ,0.002 ,0.001 ,0 ,0 ,0.001 ,0 ,0.002 ,0.002 ,0.003 
A;LU;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.013 ,0 ,0 ,0 ,0 ,0.001 ,0.002 ,0 ,0 ,0 ,0 
A;MT;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;PC_GDP,0.003 ,0.002 ,0.002 ,0.001 ,0.001 ,0.006 ,0.003 ,0.001 ,0.005 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;PC_GDP,0.007 ,0.007 ,0.007 ,0.006 ,0.006 ,0.006 ,0.009 ,0.001 ,0 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 
A;RO;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;PC_GDP,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0.001 ,0 ,0 ,0 
A;SI;PC_GDP,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP,0.001 ,0.001 ,0.001 ,0.003 ,0.006 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
